Intensität,Definition,Beschreibung
1,nicht fühlbar,Nicht fühlbar.
2,kaum bemerkbar,Nur sehr vereinzelt von ruhenden Personen wahrgenommen.
3,schwach,Von wenigen Personen in Gebäuden wahrgenommen. Ruhende Personen fühlen ein leichtes Schwingen oder Erschüttern.
4,deutlich,"Im Freien vereinzelt, in Gebäuden von vielen Personen wahrgenommen. Einige Schlafende erwachen. Geschirr und Fenster klirren, Türen klappern."
5,stark,"Im Freien von wenigen, in Gebäuden von den meisten Personen wahrgenommen. Viele Schlafende erwachen. Wenige werden verängstigt. Gebäude werden insgesamt erschüttert. Hängende Gegenstände pendeln stark, kleine Gegenstände werden verschoben. Türen und Fenster schlagen auf oder zu."
6,leichte Gebäudeschäden,"Viele Personen erschrecken und flüchten ins Freie. Einige Gegenstände fallen um. An vielen Häusern, vornehmlich in schlechterem Zustand, entstehen leichte Schäden wie feine Mauerrisse und das Abfallen von z.B. kleinen Verputzteilen."
7,Gebäudeschäden,"Die meisten Personen erschrecken und flüchten ins Freie. Möbel werden verschoben. Gegenstände fallen in großen Mengen aus Regalen. An vielen Häusern solider Bauart treten mäßige Schäden auf (kleine Mauerrisse, Abfall von Putz, Herabfallen von Schornsteinteilen). Vornehmlich Gebäude in schlechterem Zustand zeigen größere Mauerrisse und Einsturz von Zwischenwänden."
8,schwere Gebäudeschäden,Viele Personen verlieren das Gleichgewicht. An vielen Gebäuden einfacher Bausubstanz treten schwere Schäden auf; d.h. Giebelteile und Dachsimse stürzen ein. Einige Gebäude sehr einfacher Bauart stürzen ein.
9,zerstörend,Allgemeine Panik unter den Betroffenen. Sogar gut gebaute gewöhnliche Bauten zeigen sehr schwere Schäden und teilweisen Einsturz tragender Bauteile. Viele schwächere Bauten stürzen ein.
10,sehr zerstörend,Viele gut gebaute Häuser werden zerstört oder erleiden schwere Beschädigungen.
11,verwüstend,"Die meisten Bauwerke, selbst einige mit gutem erdbebengerechtem Konstruktionsentwurf und -ausführung, werden zerstört."
12,vollständig verwüstend,Nahezu alle Konstruktionen werden zerstört.
